abandon  vt.丢弃；放弃，抛弃
expl?it  vt.剥削；利用；开拓
explore  vt.&vi.探险，探索
explosion  n.爆炸，爆发，炸裂
explosive  n.炸药a.爆炸的
export  vt.输出，出口；运走
expose  vt.使暴露；揭露
exposure  n.暴露；揭露；曝光
express  vt.表示n.快车，快递
expression  n.词句；表达；表情
extend  vt.延长；扩大；致
extension  n.延长部分；伸展
extensive  a.广阔的；广泛的
extent  n.广度；范围；程度
exterior  a.外部的；对外的
external  a.外部的，外面的
extra  a.额外的ad.特别地
extraordinary  a.非同寻常的，特别的
extreme  a.极度的；尽头的
eye  n.眼睛；眼力；鉴赏力
eyesight  n.视力，目力
FFFFFFFFF
fabric  n.织物，纺织品；结构
face  n.脸；表面；外表
facility  n.设备；容易；便利

fact  n.事实；实际，实情
factor  n.因素；因子，系数
factory  n.工厂，制造厂
faculty  n.才能，能力；系，科
fade  vi.褪色；逐渐消失
fail  vi.失败；失灵；不能
failure  n.失败；失败的人
faint  a.微弱的；虚弱的
fair  a.公平的；相当的
fair  n.定期集市；博览会
fairly  ad.相当；公平地
faith  n.信任，信心；信仰
faithful  a.忠诚的；如实的
fall  vi.落下；跌倒；陷落
false  a.不真实的；伪造的
fame  n.名声，名望
familiar  a.熟悉的；冒昧的
family  n.家，家庭；家族
famine  n.饥荒；严重的缺乏
famous  a.著名的，出名的
fan  n.(运动等)狂热爱好者
fan  n.扇子，风扇vt.扇
fancy  n.想象力；设想；爱好
far  a.远的ad.远，遥远

fare  n.车费，船费，票价
farewell  int.再会n.告别
farm  n.农场，农庄；饲养场
farmer  n.农民，农夫；农场主
farther  ad.更远地a.更远的
fashion  n.样子，方式；风尚
fashionable  a.流行的，时髦的
fast  a.快的；偏快的ad.快
fasten  vt.扎牢，扣住
fat  n. 脂肪,肥肉a. 肥胖的
fatal  a.致命的；命运的
fate  n.命运，天数
father  n.父亲；神父；创始人
fatigue  n.疲劳，劳累
fault  n.缺点；过失；故障
faulty  a.有错误的，有缺点的
favour  n.好感；赞同；恩惠
favourable  a.有利的；赞成的
favourite  a.特别受喜爱的
fear  n.害怕；担心vt.害怕
fearful  a.害怕的，可怕的
feasible  a.可行的；可能的
feather  n.羽毛；翎毛；羽状物
feature  n.特征，特色；面貌

?ebruary  n.二月
federal  a.联邦的；联盟的
fee  n.费，酬金；赏金
feed  vt.喂(养) vi.吃饲料
feedback  n.回授，反馈，反应
feel  vi.有知觉vt.触，摸
feeling  n.感情；感觉，知觉
fellow  n.人，家伙；伙伴
female  n.雌性的动物；女子
fence  n.栅栏
fertile  a.肥沃的；多产的
fertilizer  n.肥料
festival  n.节日；音乐节
fetch  vt.拿来；请来，接去
fever  n.发热，发烧；狂热
few  a.很少的；少数的
fibre  n.纤维，纤维质
fiction  n.小说；虚构，杜撰
field  n.田野；田；运动场
fierce  a.凶猛的，狂热的
fifteen  num.十五；十五个
fifth  num.第五n.五分之一
fifty  num.五十，五十个
fight  vi.打(仗)；斗争

figure  n.数字；外形；人物
file  n.档案vt.把…归档
fill  vt.装满，盛满；占满
film  n.影片；胶卷；薄层
filter  vt.过滤n.滤纸
final  a.最后的；决定性的
finally  ad.最后；不可更改的
finance  n.财政，金融；财源
financial  a.财政的，金融的
find  vt.找到；发觉；找出
finding  n.发现；调查的结果
fine  a.美好的；纤细的
fine  n.罚金，罚款
finger  n.手指；指状物
finish  vt.完成，结束n.结束
fire  n.火；火灾vi.开火
fireman  n.消防队员；司炉工
firm  n.商行，商号，公司
first  num.第一ad.最初
fish  n.鱼，鱼肉vi.钓鱼
fisherman  n.渔民，渔夫，打鱼人
fit  vt.适合；安装vi.适合
five  num.五，五个，第五
fix  vt.使固定；决定

flag  n.旗，旗帜；旗舰旗
flame  n.火焰；光辉；热情
flash  n.闪光vi.闪，闪烁
flat  a.平的，扁平的
flat  n.一套房间；单元住宅
flavour  n.味，味道；风味
fleet  n.舰队；船队，机群
flesh  n.肉，肌肉；肉体
flexible  a.易弯曲的；灵活的
flight  n.航班；飞行；逃跑
float  vi.漂浮vt.使漂浮
flock  n.羊群，群；大量
flood  n.洪水vt.淹没
floor  n.地板；楼层
flour  n.面粉，粉；粉状物质
flourish  vi.繁荣，茂盛，兴旺
flow  vi.流动；飘垂；涨潮
flower  n.花，花卉；开花
fluent  a.流利的，流畅的
fluid  n.流体，液体
fly  n.蝇，苍蝇vi.飞行
focus  vi.聚焦，注视n.焦点
fog  n.雾；烟雾，尘雾
fold  vt.折叠；合拢n.褶

folk  n.人们，家属，亲属
follow  vt.跟随；结果是
following  a.接着的；下列的
fond  a.喜爱的；溺爱的
food  n.食物，食品，养料
fool  n.蠢人，傻子vt.欺骗
foolish  a.愚蠢的；鲁莽的
foot  n.脚；最下部；英尺
football  n.足球比赛；足球
footstep  n.脚步；脚步声；足迹
for  prep.为；给；因为
forbid  vt.禁止，不许；阻止
force  vt.强迫n.力，力量
forecast  n.预测，预报vt.预示
forehead  n.额头，前部
foreign  a.外国的；外来的
foreigner  n.外国人
forest  n.森林；森林地带
forever  ad.永远，总是，老是
forge  n. 熔炉,铁工厂vt. 打制,锻造,伪造
forget  vt.忘记，遗忘
forgive  vt.原谅，饶恕，宽恕
fork  n.餐叉；叉；分叉
form  n.形式；形状vt.形成

formal  a.正式的；礼仪上的
formation  n.形成；构成；形成物
former  a.在前的n.前者
formula  n.公式，式
forth  ad.向前；向外，往外
fortnight  n.两星期，十四天
fortunate  a.幸运的，侥幸的
fortunately  ad.幸运地，幸亏
fortune  n.命运，运气；财产
forty  num.四十，第四十
forward  ad.向前；今后，往后
found  vt.创立，创办；建立
foundation  n.基础；地基；基金
fountain  n.泉水，喷泉；源泉
four  num.四，四个，第四
fourteen  num.十四，第十四
fox  n.狐狸；狡猾的人
fraction  n.小部分；片断；分数
fragment  n.碎片，破片，碎块
frame  n.框架，框子；构架
framework  n.框架，构架，结构
frank  a.坦白的，直率的
free  a.自由的；空闲的
freedom  n.自由；自主

freeze  vi.冻；结冻vt.使结冰
freight  n.货运；货物；运费
?rench  a.法国的n.法国人
frequency  n.屡次；次数；频率
frequent  a.时常发生的；经常的
fresh  a.新的；新鲜的
friction  n.摩擦，摩擦力
?riday  n.星期五
fridge  n.电冰箱
friend  n.朋友，友人
friendly  a.友好的，友谊的
friendship  n.友谊，友好
frighten  vt.使惊恐，吓唬
frog  n.蛙
from  prep.从…来；离开
front  a.前面的n.前部
frontier  n.边境；边疆；新领域
frost  n.冰冻，严寒；霜
frown  vi.皱眉，蹙额
fruit  n.水果；果实；成果
fruitful  a.多产的；肥沃的
fry  vt.油煎，油炸，油炒
fuel  n.燃料vt.给…加燃料
fulfil  vt.履行；满足；完成

full  a.满的；完全的
fun  n.乐趣，娱乐；玩笑
function  n.功能；职务；函数
fund  n.资金；基金；存款
fundamental  a.基础的，基本的
funeral  n.葬礼，丧礼，丧葬
funny  a.古怪的；滑稽的
fur  n.软毛；毛皮，裘皮
furnace  n.炉子，熔炉；鼓风炉
furnish  vt.供应，提供；装备
furniture  n.家具；装置，设备
further  ad.更远地a.更远的
furthermore  ad.而且，此外
future  n.将来，未来；前途
GGGGGG
gain  vt.获得；增加n.增进
gallon  n.加仑
game  n.游戏；比赛；猎物
gang  n.一帮，一伙
gap  n.缺口；间隔；差距
garage  n.车库；加油站
garden  n.花园，菜园；公园
gardener  n.园丁，花匠
gas  n.煤气；气体；汽油
gaseous  a.气体的，气态的

gasoline  n.(美)汽油
gate  n.大门；篱笆门
gather  vi.聚集；集合vt.收集
gauge  vt.量，测量n.量器
gay  a.快乐的；鲜明的
gaze  vi.凝视，盯，注视
general  a.总的；一般的n.将军
generally  ad.一般地；通常地
generate  vt.发生；引起；生殖
generation  n.一代，一代人；产生
generator  n.发电机；发生者
generous  a.慷慨的；宽厚的
genius  n.天才，天赋，天资
gentle  a.和蔼的；轻柔的
gentleman  n.绅士；有教养的人
genuine  a.真的；真正的
geography  n.地理，地理学
geometry  n.几何，几何学
germ  n.微生物，细菌，幼芽
German  a.德国的n.德国人
gesture  n.姿势，手势；姿态
get  vi.变得，成为；到达
ghost  n.鬼，灵魂；鬼魂
giant  n.巨人；巨物

gift  n.礼物，赠品；天赋
girl  n.女孩子，姑娘；女儿
give  vt.做，作；送给
glad  a.高兴的；乐意的
glance  vi.看一下n.一瞥
glass  n.玻璃；玻璃杯
glimpse  vt.瞥见n.一瞥，一看
globe  n.地球，世界；地界仪
glorious  a.光荣的；壮丽的
glory  n.光荣；荣誉的事
glove  n.手套
glow  n.白热光vi.发白热光
glue  n.胶，胶水vt.胶合
go  vi.去；走；变为
goal  n.球门；得分；目的
goat  n.山羊
God  n.神，神像；上帝
gold  n.金；钱财a.金制的
golden  a.金色的；极好的
good  a.好的；有本事的
goodbye  int.再见，再会
goods  n.货物，商品
goose  n.鹅，雌鹅
govern  vt.统治，治理；支配

government  n.政府；治理；政治
governor  n.州长；主管人员
grace  n.优美，文雅；雅致
graceful  a.优美的，优雅的
grade  vt.给…分等级n.等级
gradual  a.逐渐的；渐进的
graduate  n.毕业生vi.大学毕业
grain  n.谷物，谷粒；颗粒
gram  n. 克
grammar  n.语法；语法书
grammatical  a.语法上的
gramme  n. 克
grand  a.宏伟的；重大的
grandfather  n.祖父；外祖父
grandmother  n.祖母，外祖母
grant  n.授给物vt.授予
grape  n.葡萄；葡萄藤
graph  n.(曲线)图，图表
grasp  vt.抓紧；掌握n.抓
grass  n.草；牧草；草地
grateful  a.感激的；令人愉快的
gratitude  a.感激，感谢，感恩
grave  n.坟墓a.严重的
gravity  n.重力，引力；严重性

gray  a.灰色的n.灰色
great  a.大的；伟大的
greedy  a.贪吃的；贪婪的
Greek  a.希腊的n.希腊人
green  a.绿色的n.绿色
greet  vt.问候，招呼；反应
greeting  n.问候，招呼，致敬
grey  a.灰色的n.灰色
grind  vt.磨(碎)；磨快
grip  vt.握紧，抓牢n.紧握
grocer  n.食品商；杂货商
gross  a.总的；严重的
ground  n.地；场地；根据
group  n.小组，群vi.聚集
grow  vi.生长；变得；增长
growth  n.增长；增长量；生长
guarantee  n.保证；担保物
guard  vt.守卫；看守n.卫兵
guess  vt.&vi.&n.猜测，推测
guest  n.客人，宾客；旅客
guidance  n.引导，指导，领导
guide  n.导游者vt.给…导游
guilty  a.内疚的；有罪的
gulf  n.海湾

gum  n.口香糖；树胶
gun  n.枪，炮，手枪
gym  n.体育馆，健身房
gymnasium  n.体育馆，健身房
HHHHHHHHHHH
habit  n.习惯；习性
hair  n.头发，毛发；毛
half  n.半，一半a.一半的
hall  n.门厅；过道；会堂
halt  vi.停止；立定n.停住
hammer  n.锤，榔头vt.锤击
hand  n.手；人手；指针
handful  n.一把；少数，一小撮
handkerchief  n.手帕
handle  n.柄，把手vt.拿，触
handsome  a.英俊的；相当大的
handwriting  n.笔迹，手迹，书法
handy  a.手边的；便于使用的
hang  vt.挂，悬；吊死
happen  vi.发生；碰巧，恰好
happy  a.快乐的；幸福的
harbour  n.海港，港口vt.庇护
hard  a.硬的；困难的
harden  vt.使变硬vi.变硬
hardly  ad.几乎不，简直不

hardship  n.艰难，困苦
hardware  n.五金器具；硬件
harm  n.伤害，损害vt.损害
harmony  n.调合，协调，和谐
harness  vt.治理n.马具，挽具
harsh  a.严厉的；刺耳的
harvest  n.收获，收成vt.收割
haste  n.急速，急忙；草率
hat  n.帽子(一般指有边的)
hate  vt.恨，憎恨；不喜欢
hatred  n.憎恶，憎恨，仇恨
have  v.aux.已经vt.有；吃
hay  n.干草
hazard  n.危险；公害
he  pron.(主格)他
head  n.头；上端vt.率领
headache  n.头痛；头痛的事
heading  n.标题，题词，题名
headline  n.大字标题；新闻提要
headquarters  n.司令部；总部
health  n.健康，健康状况
healthy  a.健康的；有益健康的
heap  n.(一)堆；大量
hear  vt.听见；审讯；听说

heart  n.心，内心；勇气
heat  n.热，炎热vi.变热
heaven  n.天堂；天，天空
heavy  a.重的；大的；充满的
hedge  n.篱笆，树篱；障碍物
heel  n.脚后跟，踵，后跟
height  n.高，高度；高处
helicopter  n.直升机
hell  n.地狱；极大的痛苦
hello  int.喂
help  vt.帮助；援助n.帮手
helpful  a.给予帮助的；有用的
helpless  a.无助的；无能的
hen  n.母鸡，雌禽
hence  ad.因此，所以；今后
her  pron.(宾格)她；她的
herd  n.兽群，牧群vt.放牧
here  ad.这里；向这里
hero  n.男主角；英雄；勇士
her?ic  a.英雄的；英勇的
hers  pron.她的(所有物)
herself  pron.她自己；她亲自
hesitate  vi.犹豫，踌躇；含糊
hi  ini.嗨(表示问候等)

hide  vt.把…藏起来；隐瞒
high  a.高的；高级的ad.高
highly  ad.高度地，很，非常
highway  n.公路；大路
hill  n.小山，山岗；丘陵
hillside  n.(小山)山腰，山坡
him  pron.(宾格)他
himself  pron.他自己；他亲自
hint  n.暗示，示意；建议
hire  vt.租借n.租用，雇用
his  pron.他的，他的东西
historical  a.历史的，有关历史的
history  n.历史；个人经历
hit  vt.打；碰撞n.击
hobby  n.业余爱好，癖好
hold  vt.拿住；掌握；拥有
hole  n.洞；孔眼，裂开处
holiday  n.假日，节日；假期
hollow  a.空的；空洞的
holy  a.神圣的；圣洁的
home  n.家；家乡a.家庭的
honest  a.诚实的；可敬的
honey  n.蜜， 蜂蜜；甜，甜蜜
honour  n.光荣；尊敬，敬意

honourable  a.诚实的；光荣的
hook  n.钩，挂钩vt.钩住
hope  n.&vt.&vi.希望
hopeful  a.有希望的
hopeless  a.没有希望的，绝望的
horizon  n.地平线；眼界，见识
horizontal  a.地平的；水平的
horn  n.号角；警报器；角
horror  n.恐怖；战栗；憎恶
horse  n.马；马科动物
horsepower  n.马力
hospital  n.医院
host  n.主人；东道主
hostile  a.敌方的；不友善的
hot  a.热的；刺激的；辣的
hotel  n.旅馆
hour  n.小时；时间，时刻
house  n.房屋，住宅；商号
household  n.家庭，户；家务
housewife  n.家庭主妇
how  ad.怎么；怎样；多少
however  ad.然而；不管怎样
huge  a.巨大的，庞大的
human  a.人的，人类的n.人

humble  a.谦逊的；地位低下的
humorous  a.富于幽默的，诙谐的
humour  n.幽默，诙谐，幽默感
hundred  num.百，百个n.许多
hunger  n.饿，饥饿；渴望
hungry  a.饥饿的；渴望的
hunt  n.打猎；搜寻vt.追猎
hurry  vi.赶紧vt.催促
hurt  vt.使受伤；使痛心
husband  n.丈夫
hut  n.小屋，棚屋
hydrogen  n.氢
IIIIIIIII
I  pron.(主格)我
ice  n.冰，冰块vt.冰镇
ice-cream  n.冰淇淋
idea  n.想法；思想；意见
ideal  a.理想的；观念的
identical  a.完全相同的；同一的
identify  vt.认出，识别，鉴定
idle  a.空闲的；懒散的
if  conj.假如，如果
ignorant  a.不知道的；无知的
ignore  vt.不顾，不理，忽视

ill  a.有病的；坏的ad.坏
illegal  a.不合法的，非法的
illness  n.病，疾病
illustrate  vt.(用图等)说明
illustration  n.说明，图解；例证
image  n.像；形象；映象
imaginary  a.想象中的，假想的
imagination  n.想象；想象力；空想
imagine  vt.想象，设想；料想
imitate  vt.模仿，仿效；仿制
immediate  a.立即的；直接的
immense  a.巨大的；极好的
immigrant  n.移民a.移民的
impact  n.影响，作用；冲击
impatient  a.不耐烦的，急躁的
implication  n.含义，暗示，暗指
imply  vt.暗示，意指
import  vt.&n.输入，进口
importance  n.重要；重要性
important  a.重要的；有势力的
impose  vt.把…强加；征(税)
impossible  a.不可能的，办不到的
impress  vt.给…深刻印象
impression  n.印；印象；印记

impressive  a.给人印象深刻的
improve  vt.使更好vi.改善
improvement  n.改进，改善；改进处
in  prep.在…里ad.进，入
inch  n.英寸
incident  n.发生的事；事件
incline  n.斜坡vt.使倾斜
include  vt.包括，包含
income  n.收入；收益；进款
increase  vt.&vi.&n.增加
increasingly  ad.日益，越来越多地
indeed  ad.真正地；确实
independence  n.独立，自主，自立
independent  a.独立的；自主的
index  n.索引；指数；指标
Indian  a.印度的n.印度人
indicate  vt.标示，表示；表明
indication  n.指示；表示；表明
indifferent  a.冷漠的；不积极的
indirect  a.间接的；不坦率的
indispensable  a.必不可少的，必需的
individual  a.个别的；独特的
indoors  ad.在室内，在屋里
industrial  a.工业的；产业的

industrialize  vt.使工业化
industry  n.工业，产业；勤劳
inevitable  a.不可避免的，必然的
infant  n.婴儿a.婴儿的
infect  vt.传染；感染
infer  vt.推论，推断；猜想
inferior  a.下等的；劣等的
infinite  a.无限的；无数的
influence  n.影响；势力vt.影响
influential  a.有影响的；有权势的
inform  vt.通知，向…报告
information  n.消息，信息；通知
inhabitant  n.居民，住户
inherit  vt.继承(传统等)
initial  a.最初的；词首的
injection  n.注射，注入；充满
injure  vt.伤害，损害，损伤
injury  n.损害，伤害；受伤处
ink  n.墨水，油墨
inn  n.小旅店；小酒店
inner  a.内部的；内心的
innocent  a.清白的，幼稚的
input  n.输入；投入的资金
inquire  vt.打听，询问；调查

inquiry  n.询问，打听；调查
insect  n.昆虫，虫
insert  vt.插入; 嵌入; 登载
inside  prep.在…里面n.内部
insist  vi.坚持；坚持要求
inspect  vt.检查，审查；检阅
inspire  vt.鼓舞；给…以灵感
install  vt.安装，设置
installation  n.安装；装置；设施
instance  n.例子，实例，事例
instant  n.瞬间a.立即的
instead  ad.代替，顶替；反而
instinct  n.本能；直觉；生性
institute  n.研究所；学院
institution  n.协会；制度，习俗
instruct  vt.教；指示；通知
instruction  n.命令；教学；教训
instrument  n.仪器；工具；乐器
insult  vt.&n.侮辱，凌辱
insurance  n.保险；保险费
insure  vt.给…保险；确保
intellectual  n.知识分子a.智力的
intelligence  n.智力；理解力；情报
intelligent  a.聪明的；理智的

intend  vt.想要，打算；意指
intense  a.强烈的；紧张的
intensity  n.强烈，剧烈；强度
intensive  a.加强的；精耕细作的
intention  n.意图，意向，目的
interaction  n.相互作用；干扰
interest  n.兴趣；利益；利息
interesting  a.有趣的，引人入胜的
interfere  vi.干涉，干预；妨碍
interference  n.干涉，干预；阻碍
interior  a.内的；内地的n.内部
intermediate  a.中间的；中级的
internal  a.内的；国内的
international  a.国际的，世界(性)的
interpret  vt.解释，说明；口译
interpretation  n.解释；口译
interrupt  vt.打断，打扰；中止
interval  n.间隔；休息；间距
interview  n.接见；会见；面谈
intimate  a.亲密的；个人的
into  prep.进，入；进入到
introduce  vt.介绍；引进，传入
introduction  n.介绍；引进；引言
invade  vt.入侵，侵略；侵袭

invasion  n.入侵，侵略；侵犯
invent  vt.发明，创造；捏造
invention  n.发明，创造；捏造
inventor  n.发明者；发明家
invest  vt.投资；投入
investigate  vt.&vi.调查
investment  n.投资，投资额，投入
invisible  a.看不见的，无形的
invitation  n.邀请，招待；请柬
invite  vt.邀请，聘请；招待
involve  vt.使卷入；牵涉
inward  a.里面的ad.向内
iron  n.铁；烙铁vt.烫(衣)
island  n.岛，岛屿
isolate  vt.使隔离，使孤立
issue  n.问题；发行vt.发行
it  pron.这，那，它
Italian  a. 意大利的n.意大利人
item  n.条，条款；一条
its  pron.它的
itself  pron.它自己；自身
JJJJJJ
jacket  n.短上衣，茄克衫
jam  n.果酱

jam  vt.使塞满；使堵塞
January  n.一月
Japanese  a.日本的n.日本人
jar  n.罐子，坛子，广口瓶
jaw  n.颌，颚
jazz  n.爵士音乐，爵士舞曲
jealous  a.妒忌的；猜疑的
jet  n.喷气式飞机；喷嘴
jewel  n.宝石；宝石饰物
job  n.职业；工作；零活
j?in  vt.参加；连接
j?int  n.接头，接缝；关节
joke  n.笑话vi.说笑话
journal  n.日报，杂志；日志
journey  n.旅行，旅程n.旅行
joy  n.欢乐，喜悦；乐事
judge  n.法官；裁判员
judgement  n.意见；审判；判断
juice  n.(水果等)汁，液
July  n.七月
jump  vi.跳；暴涨vt.跳过
June  n.六月
jungle  n.丛林，密林，莽丛
junior  a.年少的n.晚辈

jury  n.陪审团；评奖团
just  ad.刚才；只是；正好
justice  n.正义，公正；司法
justify  vt.证明…是正当的
KKKKKKKKKKK
keen  a.热心的；激烈的
keep  vi.保持；坚持
kettle  n.水壶，水锅
key  n.钥匙；键；答案
keyboard  n.键盘
kick  vi.&vt.&n.踢
kid  n.小孩，儿童，少年
kill  vi.杀死；扼杀；消磨
kilogram  n.千克，公斤
kilometer  n.千米，公里
kind  n.种类
kind  a.友好的；和蔼的
kindness  n.仁慈，好意
king  n.国王，君主
kingdom  n.王国；领域，界
kiss  vt.吻vi.接吻n.吻
kitchen  n.厨房，灶间
knee  n.膝，膝盖，膝关节
kneel  vi.跪，跪下，跪着

knife  n.小刀，刀，餐刀
knock  vi.&vt.&n.敲，击，打
knot  n.(绳的)结，(树的)节
know  vt.知道；认识；通晓
knowledge  n.知识，学识；知道
LLLLLLLLLL
lab  n.实验室，研究室
label  n.标签；标记，符号
laboratory  n.实验室，研究室
labour  n.劳动；工作；劳工
lack  vi.&vi.&n.缺乏，不足
ladder  n.梯子，梯状物
lady  n.女士，夫人；贵妇人
lag  vi.走得慢n.落后
lake  n.湖
lamp  n.灯
land  n.陆地；土地vi.上岸
landlord  n.地主；房东，店主
lane  n.(乡间)小路；跑道
language  n.语言，语言课程
lap  n.膝部；一圈
large  a.大的；巨大的
largely  ad.大部分；大量地
laser  n.激光

last  a.最后的ad.最后
last  vi.持续，持久；耐久
late  a.迟的ad.迟，晚
lately  ad.最近，不久前
later  ad.后来；过一会儿
Latin  a.拉丁的n.拉丁语
latter  a.(两者中)后者的
laugh  vi.笑，发笑n.笑
laughter  n.笑，笑声
launch  vt.发射，投射；发动
laundry  n.洗衣房，洗衣店
lavatory  n.盥洗室，厕所
law  n.法律，法令；法则
lawn  n.草地，草坪，草场
lawyer  n.律师；法学家
lay  vt.置放；铺设；设置
layer  n.层，层次；铺设者
layout  n.布局，安排，设计
lazy  a.懒惰的，懒散的
lead  vt.为…带路；领导
lead  n.铅，铅制品
leader  n.领袖，领导人；首领
leadership  n.领导
leading  a.指导的；最主要的

leaf  n.叶，叶子
league  n.同盟，联盟；联合会
leak  vi.漏；泄露n.漏洞
lean  vi.倾斜，屈身；靠
leap  vi.跳，跃n.跳跃
learn  vi.&vt.学，学习
learned  a.有学问的；学术上的
learning  n.学习；学问，知识
least  a.最少的ad.最少
leather  n.皮革；皮革制品
leave  vi.离去vt.离开
lecture  n.&vi.演讲，讲课
left  a.左边的ad.在左边
leg  n.腿，腿部
legal  a.法律的；合法的
leisure  n.空闲时间；悠闲
lend  vt.把…借给，贷(款)
length  n.长，长度；一段
lens  n.透镜，镜片；镜头
less  a.更少的ad.更少地
lessen  vt.减少，减轻；缩小
lesson  n.功课，课；课程
lest  conj.惟恐，以免
let  vt.允许，让；使

letter  n.信；证书；字母
level  n.水平面a.水平的
lever  n.杆，杠杆；控制杆
liable  a.易于…的；可能的
liberal  a.心胸宽大的；慷慨的
liberate  vt.解放；释放
liberty  n.自由；释放；许可
librarian  n. 图书馆馆长
library  n.图书馆；藏书
license  n.许可；执照vt.准许
lid  n.盖子，盖，囊盖
lie  vi.躺，平放；位于
lie  vi.说谎，欺骗n.谎话
life  n.生命；一生；寿命
lifetime  n.一生，终身
lift  vt.提起，提高n.电梯
light  n.光，光线；灯，光源
light  a.轻的，少量的
lightning  n.闪电，闪电放电
like  vt.喜欢；喜爱；希望
like  prep.像，如；像要
likely  a.可能的ad.很可能
likewise  ad.同样地；也，又
limb  n.肢，臂，翼；树枝

lime  n.石灰
limit  n.限度；限制；范围
limitation  n.限制；限度，局限
limited  a.有限的
line  n.线；排；路线；线条
link  vt.有环连接n.环
lion  n.狮子；勇猛的人
lip  n.嘴唇
liquid  n.液体a.液体的
liquor  n.酒；溶液，液剂
list  n.表，目录n.列举
listen  vi.听，留神听；听从
liter  n. 公升
litre  n. 公升
literary  a.文学(上)的
literature  n.文学；文献
little  a.小的；少；幼小的
live  vi.居住；活a.活的
lively  a.活泼的；逼真的
liver  n.肝；肝脏
living  a.活的n.生活，生计
living-room  n.起居室
load  vt.装；装满n.负载
loaf  n.一条面包，一个面包

loan  n.贷款；暂借vt.借出
local  a.地方的；局部的
locate  vt.探明，找出，查出
location  n.位置，场所
lock  n.锁vt.锁上，锁住
lodge  vi.暂住，借宿，投宿
log  n.原木，木料
logic  n.逻辑，推理；逻辑性
logical  a.逻辑的；符合逻辑的
lonely  a.孤独的；荒凉的
long  a.长的；远的ad.长久
long  vi.渴望，极想念
look  vi.看，显得n.看
loop  n.圈，环，环孔
loose  a.松的；宽松的
loosen  vt.解开；使松驰
lord  n.贵族；上帝，基督
lorry  n.运货汽车，卡车
lose  vt.失去；迷失；输掉
loss  n.遗失；损失；失败
lot  n.许多，大量；签，阄
loud  a.响亮的；吵闹的
love  vt.爱，喜欢n.爱
lovely  a.可爱的；令人愉快的

lover  n.爱好者；情人；情侣
low  a.低的，矮的；低下的
lower  a.较低的vt.放下
loyal  a.忠诚的，忠心的
loyalty  n.忠诚，忠心
luck  n.运气；好运，幸运
lucky  a.幸运的；吉祥的
luggage  n.行李；皮箱，皮包
lump  n.团，块；肿块
lunch  n.午餐，(美)便餐
lung  n.肺脏，肺
luxury  n.奢侈，奢华； 奢侈品
MMMM
machine  n.机器；机械
machinery  n. 机器,机关,结构
mad  a.发疯的；恼火的
magazine  n.杂志，期刊
magic  n.魔法，巫术；戏法
magnet  n.磁铁，磁石，磁体
magnetic  a.磁的，有吸引力的
magnificent  n.壮丽的；华丽的
maid  n.女佣，女仆；少女
mail  n.邮件vt.邮寄
main  a.主要的，最重要的

mainland  n.大陆
maintain  vt.维持；赡养；维修
maintenance  n.维持，保持；维修
major  a.较大的n.专业
majority  n.多数，大多数
make  vt.使；做，制造
male  a.男的，雄的n.男子
man  n.男人；人；人类
manage  vt.管理；设法；对付
management  n.管理；经营，处理
manager  n.经理，管理人
mankind  n.人类
manner  n.方式；态度；礼貌
manual  a.体力的n.手册
manufacture  vt.制造n.制造；产品
manufacturer  n.制造商；制造厂
many  a.许多的pron.许多人
map  n.地图；图；天体图
March  n.三月
march  vi.行军；游行示威
margin  n.页边的空白；边缘
marine  a.海的；海上的
mark  n.斑点；记号vt.标明
market  n.市场；集市；销路

marriage  n.结婚，婚姻；婚礼
married  a.已婚的；婚姻的
marry  vt.娶，嫁vi.结婚
marvelous  a.奇迹般的；了不起的
Marxist  a.马克思主义的
mask  n.面具；伪装vt.掩饰
mass  n.众多；团；群众
master  n.主人；能手；硕士
mat  n.席子；草席；垫子
match  n.比赛，竞赛；对手
match  n.(一根)火柴
mate  n.伙伴，同事；配偶
material  n.材料；素材a.物质的
mathematical  a.数学的，数学上的
mathematics  n.数学
maths  n.(英)数学
matter  n.事情；物质vi.要紧
mature  a.成熟的vt.使成熟
maximum  n.最大量a.最大的
May  n.五月
may  v.aux.可能；可以，祝
maybe  ad.大概，或许；也许
mayor  n.市长
me  pron.(宾格)我

meal  n.膳食，一餐
mean  vt.作…解释；意指
mean  a.自私的；吝啬的
mean  a.平均的n.平均值
meaning  n.意义，意思；意图
means  n.方法，手段，工具
meantime  n.其时，其间ad.当时
meanwhile  ad.同时，当时
measure  vt.量，测量n.分量
measurement  n.衡量，测量；尺寸
meat  n.肉
mechanic  n.技工，机械，机修工
mechanical  a.机械的；力学的
mechanics  n.力学；技术性细节
medical  a.医学的；内科的
medicine  n.内服药；医学
medium  n.媒质；中间a.中等的
meet  vt.遇见vi.相遇
meeting  n.聚集，会合，会见
melt  vi.融化vt.使融化
member  n.成员，会员
memorial  a.纪念的；记忆的
memory  n.记忆；回忆；存储
mend  vt.修理，修补，缝补

mental  a.智力的；精神的
mention  vt.&n.提及，说起
menu  n.菜单；饭菜，菜肴
merchant  n.商人；零售商
mercury  n.水银，汞
Mercury  n.水星
mercy  n.仁慈，慈悲，恩惠
mere  a.仅仅的；纯粹的
merely  ad.仅仅，只不过
merit  n.长处，优点；功过
